,C_Rate,SPMT_RMSE
0,0.1,0.010782783063731071
1,0.2,0.021096765277900265
2,0.4,0.038984778570981794
3,0.8,0.0639117801601485
4,1.0,0.07343900507146121
5,2.0,0.10772665996251937
6,4.0,0.1502555293298312
7,6.0,0.17947269519614073
8,8.0,0.20654089076589388
9,10.0,0.2263042825830241
