,C_Rate,NSOC,Temp,Voltage,OCV
0,0.1,0.8000000000000016,298.15,3.8417267141980536,3.8518235799803935
1,0.1,0.7993965839479891,298.1539852159673,3.840124588999729,3.8507778009983635
2,0.1,0.7987931678959769,298.15805372999847,3.8394168753838316,3.850215763690349
3,0.1,0.7981897518439645,298.1621468879618,3.838887631327842,3.8497245817434154
4,0.1,0.797586335791952,298.166249186287,3.838416519880096,3.849262428002341
5,0.1,0.7969829197399396,298.17035618100437,3.8379668457826384,3.8488140678121416
6,0.1,0.7963795036879274,298.17446656211706,3.837526376875833,3.84837277811026
7,0.1,0.795776087635915,298.17858006598385,3.8370903594765506,3.847935367155786
8,0.1,0.7951726715839027,298.18269596820755,3.8366562013380805,3.8474997460818523
9,0.1,0.7945692555318904,298.1868142526974,3.8362231878651696,3.8470652570307755
10,0.1,0.7939658394798779,298.19093481831027,3.8357909749505383,3.846631570734181
11,0.1,0.7933624234278656,298.1950575455677,3.835359299314914,3.846198431494973
12,0.1,0.7927590073758531,298.1991823253545,3.834927981780691,3.845765663190368
13,0.1,0.7921555913238407,298.2033094691929,3.8344969374694724,3.845333181309332
14,0.1,0.7915521752718282,298.20743812249236,3.834066052039382,3.844900867861692
15,0.1,0.7909487592198157,298.2115683539409,3.83363533212459,3.8444687291370165
16,0.1,0.7903453431678032,298.2157001042124,3.833204776187316,3.8440367631579266
17,0.1,0.7897419271157909,298.21983328019746,3.832774385884404,3.8436049712467177
18,0.1,0.7891385110637786,298.22396787342876,3.832344178711104,3.8431733708799993
19,0.1,0.7885350950117661,298.22810421253786,3.8319141610502223,3.842741967990811
20,0.1,0.7879316789597537,298.23224159206273,3.831484329158866,3.842310758713425
21,0.1,0.7873282629077414,298.23637975439,3.8310546960580703,3.8418797560783347
22,0.1,0.7867248468557293,298.2405188044926,3.8306252793077014,3.8414489775748004
23,0.1,0.7861214308037171,298.24465866246845,3.8301960953999212,3.841018439690706
24,0.1,0.7855180147517045,298.2487992735382,3.8297671599569147,3.8405881580192416
25,0.1,0.7849145986996923,298.2529408656696,3.8293384903005165,3.840158149748142
26,0.1,0.7843111826476797,298.25708296693205,3.828910099520722,3.8397284281022657
27,0.1,0.7837077665956673,298.2612253854167,3.8284820037320073,3.8392990092468566
28,0.1,0.783104350543655,298.26536808599667,3.828054219798417,3.838869910060763
29,0.1,0.7825009344916428,298.2695110747672,3.8276267646099287,3.8384411474133984
30,0.1,0.7818975184396305,298.27365430897476,3.8271996546522846,3.8380127377945388
31,0.1,0.7812941023876181,298.2777976887373,3.8267729066361977,3.8375846979937287
32,0.1,0.7806906863356057,298.28194106913486,3.82634653537142,3.837157042779836
33,0.1,0.7800872702835933,298.2860838176224,3.8259205572105484,3.836729788915677
34,0.1,0.7794838542315808,298.2902263482252,3.825494988035278,3.836302951990583
35,0.1,0.7788804381795684,298.294368878828,3.8250698436089907,3.8358765476078553
36,0.1,0.7782770221275559,298.2985114094308,3.8246451395720484,3.835450591394478
37,0.1,0.7776736060755436,298.3026533911756,3.824220891189955,3.835025098966611
38,0.1,0.7770701900235311,298.3067948706069,3.8237971136831823,3.8346000854725086
39,0.1,0.7764667739715186,298.3109358120802,3.823373822112544,3.834175565981404
40,0.1,0.7758633579195062,298.31507636026356,3.8229510314351813,3.833751555350039
41,0.1,0.7752599418674944,298.31921621807464,3.8225287561715535,3.833328068254528
42,0.1,0.7746565258154828,298.3233554051063,3.8221070108460036,3.8329051191957504
43,0.1,0.7740531097634704,298.32749340081807,3.8216858094933355,3.8324827224807176
44,0.1,0.773449693711458,298.33163017837995,3.8212651662068087,3.832060892197779
45,0.1,0.7728462776594456,298.3357662913396,3.820845095240066,3.831639642276627
46,0.1,0.7722428616074326,298.33990156667386,3.8204256102459,3.8312189864557817
47,0.1,0.771639445555418,298.34403565280985,3.8200067245829827,3.8307989382802097
48,0.1,0.7710360295034022,298.3481687353716,3.8195884517330567,3.8303795111158943
49,0.1,0.7704326134513897,298.3523002482375,3.8191708045510007,3.8299607181248736
50,0.1,0.7698291973993767,298.3564303360336,3.8187537961290046,3.8295425722922736
51,0.1,0.769225781347364,298.3605587091995,3.818337439105072,3.8291250864063966
52,0.1,0.7686223652953514,298.3646861166933,3.8179217465168267,3.828708273079884
53,0.1,0.7680189492433386,298.36881216091234,3.81750673056528,3.8282921447238563
54,0.1,0.7674155331913254,298.37293675906704,3.817092403442141,3.827876713565594
55,0.1,0.7668121171393131,298.3770593843561,3.816678776894243,3.8274619916378527
56,0.1,0.7662087010872991,298.38117995497987,3.816265862762313,3.8270479907995947
57,0.1,0.7656052850352862,298.38529857765565,3.815853672781585,3.8266347227186173
58,0.1,0.7650018689832735,298.3894159998847,3.8154422188610355,3.8262221988846847
59,0.1,0.7643984529312597,298.39353166283496,3.8150315119933156,3.8258104305890264
60,0.1,0.7637950368792449,298.39764558466084,3.814621563311719,3.8253994289455147
61,0.1,0.7631916208272327,298.40175713926527,3.814212383397356,3.824989204875995
62,0.1,0.7625882047752213,298.40586652964356,3.8138039831428947,3.8245797691369647
63,0.1,0.7619847887232092,298.40997417954105,3.8133963733542338,3.824171132297396
64,0.1,0.761381372671198,298.41407981557984,3.812989564272585,3.8237633047409116
65,0.1,0.7607779566191865,298.41818338427373,3.812583566085894,3.823356296674918
66,0.1,0.7601745405671746,298.4222847847685,3.812178388776663,3.822950118127892
67,0.1,0.7595711245151623,298.4263832130056,3.8117740417691297,3.8225447789472207
68,0.1,0.7589677084631502,298.4304796907182,3.811370535310029,3.822140288816395
