,Unnamed: 0,C_Rate,SPMT_RMSE,Hybrid_RMSE,RER
0,0,0.1,0.15548344369399178,0.10641584470802233,31.558086070269827
1,1,0.2,0.16255485486448784,0.08927034561633704,45.082940961218085
2,2,0.4,0.16630530894118084,0.07311908760959726,56.03322102275271
3,3,0.8,0.16821769793681518,0.13621751012855543,19.02308033027503
4,4,1.0,0.18145952708324994,0.17946501113699367,1.0991519587402137
5,5,2.0,0.2342935911972248,0.20759965234031846,11.393371334018168
6,6,4.0,0.2893270402329074,0.22615998612956187,21.83240600411778
7,7,6.0,0.3380559144962729,0.2504895375106362,25.902927069362715
8,8,8.0,0.3577142390469387,0.2912946733057536,18.56777239791946
9,9,10.0,0.3851239628749881,0.3487171062904568,9.45328260354161
